GlobalEventID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1_private_code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2_private_code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,Action_private_code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
952346382,20191021,201910,2019,2019.7973,AFR,AFRICA,AFR,,,,,,,,,,,,,,,,,,1,10,10,1,1,0.0,5,1,5,2.13219616204691,4,"Brulpadda, Northern Cape, South Africa",SF,SF08,77358,-30.6953,20.9826,-1215868,0,,,,,,,,4,"Brulpadda, Northern Cape, South Africa",SF,SF08,77358,-30.6953,20.9826,-1215868,20201020083000,https://www.iol.co.za/business-report/energy/sa-could-become-top-exporter-of-green-hydrogen-to-the-world-9681ca28-41b3-4b74-a031-5312817517fb
952346383,20191021,201910,2019,2019.7973,DNK,DANISH,DNK,,,,,,,,USAMED,REUTERS,USA,,,,,MED,,,0,10,10,1,1,0.0,1,1,1,-0.11594202898551001,4,"Nuuk, Vestgrød, Greenland",GL,GL03,25042,64.1833,-51.75,-2084615,4,"Copenhagen, Køavn*, Denmark",DA,DA05,15213,55.6667,12.5833,-2745636,4,"Copenhagen, Køavn*, Denmark",DA,DA05,15213,55.6667,12.5833,-2745636,20201020083000,https://www.moneycontrol.com/news/world/as-the-arctics-attractions-mount-greenland-is-a-security-black-hole-5987551.html
952346384,20191021,201910,2019,2019.7973,KHMELI,HUN SEN,KHM,,,,,ELI,,,USA,UNITED STATES,USA,,,,,,,,0,833,83,8,2,5.0,5,1,5,-0.16420361247947,1,Cambodia,CB,CB,,13.0,105.0,CB,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.38799999999999,-1898541,20201020083000,https://www.navytimes.com/news/your-navy/2020/10/07/us-state-department-expresses-concern-over-china-link-to-cambodian-naval-base/
952346385,20191021,201910,2019,2019.7973,LEG,PARLIAMENT,,,,,,LEG,,,MED,WEBSITE,,,,,,MED,,,1,60,60,6,2,6.0,3,1,3,0.6051437216338901,4,"Brighton, Brighton and Hove, United Kingdom",UK,UKB6,40137,50.8333,-0.15,-2590884,4,"Brighton, Brighton and Hove, United Kingdom",UK,UKB6,40137,50.8333,-0.15,-2590884,4,"Brighton, Brighton and Hove, United Kingdom",UK,UKB6,40137,50.8333,-0.15,-2590884,20201020083000,https://www.albawaba.com/editors-choice/it-banksy-sketch-who-really-created-hula-hooping-girl-mural-1387663
952346386,20191021,201910,2019,2019.7973,LEG,PARLIAMENT,,,,,,LEG,,,MED,WEBSITE,,,,,,MED,,,1,60,60,6,2,6.0,2,1,2,0.6051437216338901,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,40126,52.9667,-1.16667,-2604469,4,"Brighton, Brighton and Hove, United Kingdom",UK,UKB6,40137,50.8333,-0.15,-2590884,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,40126,52.9667,-1.16667,-2604469,20201020083000,https://www.albawaba.com/editors-choice/it-banksy-sketch-who-really-created-hula-hooping-girl-mural-1387663
952346387,20191021,201910,2019,2019.7973,MNCIRL,RYANAIR,IRL,,,,,MNC,,,IRL,IRELAND,IRL,,,,,,,,1,120,120,12,3,-4.0,10,1,10,-1.34770889487871,1,Ireland,EI,EI,,53.0,-8.0,EI,1,Ireland,EI,EI,,53.0,-8.0,EI,1,Ireland,EI,EI,,53.0,-8.0,EI,20201020083000,https://www.irishtimes.com/business/ryanair-and-eir-the-worst-for-customer-service-during-covid-crisis-1.4385292
952346388,20191021,201910,2019,2019.7973,SDN,SUDAN,SDN,,,,,,,,SDNGOV,OMAR AL BASHIR,SDN,,,,,GOV,,,1,50,50,5,1,3.5,10,1,10,-4.27553444180522,1,Sudan,SU,SU,,16.0,30.0,SU,1,Sudan,SU,SU,,16.0,30.0,SU,1,Sudan,SU,SU,,16.0,30.0,SU,20201020083000,https://news.yahoo.com/trump-set-remove-sudan-state-230645648.html
952346389,20191021,201910,2019,2019.7973,USA,THE US,USA,,,,,,,,SDNGOV,OMAR AL BASHIR,SDN,,,,,GOV,,,1,50,50,5,1,3.5,10,1,10,-4.27553444180522,1,Sudan,SU,SU,,16.0,30.0,SU,1,Sudan,SU,SU,,16.0,30.0,SU,1,Sudan,SU,SU,,16.0,30.0,SU,20201020083000,https://news.yahoo.com/trump-set-remove-sudan-state-230645648.html
952346390,20200920,202009,2020,2020.7123,,,,,,,,,,,USA,SACRAMENTO,USA,,,,,,,,0,40,40,4,1,1.0,7,1,7,-2.42424242424242,0,,,,,,,,3,"Sacramento, California, United States",US,USCA,CA067,38.5816,-121.494,1659564,3,"Sacramento, California, United States",US,USCA,CA067,38.5816,-121.494,1659564,20201020083000,https://www.governing.com/now/Trump-Overrules-FEMA-Approves-Californias-Request-for-Help.html
952346391,20200920,202009,2020,2020.7123,AFR,AFRICA,AFR,,,,,,,,ZAF,PRETORIA,ZAF,,,,,,,,1,10,10,1,1,0.0,4,1,4,-3.51437699680511,4,"Pretoria, Gauteng, South Africa",SF,SF06,77346,-25.7069,28.2294,-1273769,4,"Pretoria, Gauteng, South Africa",SF,SF06,77346,-25.7069,28.2294,-1273769,4,"Pretoria, Gauteng, South Africa",SF,SF06,77346,-25.7069,28.2294,-1273769,20201020083000,https://www.iol.co.za/pretoria-news/news/tshwane-waste-collection-delays-caused-by-expiry-of-contract-c494eb25-21d7-458b-9f7a-02bebc55a27a
952346392,20200920,202009,2020,2020.7123,CHN,CHINA,CHN,,,,,,,,GOV,REGULATOR,,,,,,GOV,,,1,172,172,17,4,-5.0,4,2,4,-1.2631634932454,4,"Stockholm, Stockholm, Sweden",SW,SW26,26170,59.3333,18.05,-2524279,4,"Stockholm, Stockholm, Sweden",SW,SW26,26170,59.3333,18.05,-2524279,4,"Stockholm, Stockholm, Sweden",SW,SW26,26170,59.3333,18.05,-2524279,20201020083000,https://www.metro.us/sweden-bans-huawei-zte/
952346393,20200920,202009,2020,2020.7123,CHN,CHINA,CHN,,,,,,,,SWEGOV,SWEDEN,SWE,,,,,GOV,,,1,172,172,17,4,-5.0,16,2,16,-1.2631634932454,4,"Stockholm, Stockholm, Sweden",SW,SW26,26170,59.3333,18.05,-2524279,4,"Stockholm, Stockholm, Sweden",SW,SW26,26170,59.3333,18.05,-2524279,4,"Stockholm, Stockholm, Sweden",SW,SW26,26170,59.3333,18.05,-2524279,20201020083000,https://www.metro.us/sweden-bans-huawei-zte/
952346394,20200920,202009,2020,2020.7123,USA,SACRAMENTO,USA,,,,,,,,,,,,,,,,,,0,40,40,4,1,1.0,7,1,7,-2.42424242424242,3,"Sacramento, California, United States",US,USCA,CA067,38.5816,-121.494,1659564,0,,,,,,,,3,"Sacramento, California, United States",US,USCA,CA067,38.5816,-121.494,1659564,20201020083000,https://www.governing.com/now/Trump-Overrules-FEMA-Approves-Californias-Request-for-Help.html
952346395,20200920,202009,2020,2020.7123,USA,THE US,USA,,,,,,,,,,,,,,,,,,1,45,45,4,1,5.0,10,1,10,3.05084745762712,1,Israel,IS,IS,,31.5,34.75,IS,0,,,,,,,,1,Israel,IS,IS,,31.5,34.75,IS,20201020083000,http://english.ahram.org.eg/NewsContent/2/8/388452/World/Region/Israeli-parliament-formally-approves-UAE-normaliza.aspx
952346396,20200920,202009,2020,2020.7123,USA,THE US,USA,,,,,,,,,,,,,,,,,,1,61,61,6,2,6.4,5,1,5,0.4750593824228,1,India,IN,IN,,20.0,77.0,IN,0,,,,,,,,1,India,IN,IN,,20.0,77.0,IN,20201020083000,http://www.uniindia.com/~/strong-demand-in-us-for-indian-agri-and-food-products/Business%20Economy/news/2206426.html
952346397,20201013,202010,2020,2020.7753,,,,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,1,110,110,11,3,-2.0,5,1,5,-7.35785953177255,0,,,,,,,,1,Nigeria,NI,NI,,10.0,8.0,NI,1,Nigeria,NI,NI,,10.0,8.0,NI,20201020083000,https://www.pulse.ng/news/local/endsars-sgf-concerned-protesters-spreading-covid-19/h009r3l
952346398,20201013,202010,2020,2020.7753,,,,,,,,,,,MNCUSAHLH,PFIZER,USA,,,,,MNC,HLH,,1,14,14,1,1,0.0,10,1,10,1.37741046831956,0,,,,,,,,0,,,,,,,,0,,,,,,,,20201020083000,https://www.livemint.com/science/health/covid-vaccine-moderna-targets-emergency-approval-in-december-11603165328904.html
952346399,20201013,202010,2020,2020.7753,AFG,KABUL,AFG,,,,,,,,AFGINSTALUAF,TALIBAN,AFG,TAL,,,,INS,UAF,,1,52,52,5,1,3.5,1,1,1,-6.508875739644981,5,"Badakhshan, Badakhshan, Afghanistan",AF,AF01,3456,36.75,72.0,-3369558,5,"Badakhshan, Badakhshan, Afghanistan",AF,AF01,3456,36.75,72.0,-3369558,5,"Badakhshan, Badakhshan, Afghanistan",AF,AF01,3456,36.75,72.0,-3369558,20201020083000,http://www.bakhtarnews.com.af/eng/security/item/44412-us-military-defends-air-strikes-against-taliban.html
952346400,20201013,202010,2020,2020.7753,AFG,KABUL,AFG,,,,,,,,AFGINSTALUAF,TALIBAN,AFG,TAL,,,,INS,UAF,,1,52,52,5,1,3.5,1,1,1,-6.508875739644981,5,"Badakhshan, Badakhshan, Afghanistan",AF,AF01,3456,36.75,72.0,-3369558,4,"Doha, Ad Daw?ah, Qatar",QA,QA01,25307,25.2867,51.5333,-785169,4,"Doha, Ad Daw?ah, Qatar",QA,QA01,25307,25.2867,51.5333,-785169,20201020083000,http://www.bakhtarnews.com.af/eng/security/item/44412-us-military-defends-air-strikes-against-taliban.html
952346401,20201013,202010,2020,2020.7753,AFG,KABUL,AFG,,,,,,,,USA,WASHINGTON,USA,,,,,,,,1,112,112,11,3,-2.0,2,1,2,-6.508875739644981,4,"Kabul, Kabol, Afghanistan",AF,AF13,3580,34.5167,69.1833,-3378435,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20201020083000,http://www.bakhtarnews.com.af/eng/security/item/44412-us-military-defends-air-strikes-against-taliban.html
952346402,20201013,202010,2020,2020.7753,AUSGOV,VICTORIA,AUS,,,,,GOV,,,JUD,HIGH COURT,,,,,,JUD,,,1,10,10,1,1,0.0,10,1,10,-6.57894736842105,4,"Mornington, Victoria, Australia",AS,AS07,5405,-38.2167,145.033,-1588943,4,"Mornington, Victoria, Australia",AS,AS07,5405,-38.2167,145.033,-1588943,4,"Mornington, Victoria, Australia",AS,AS07,5405,-38.2167,145.033,-1588943,20201020083000,https://www.news.com.au/national/courts-law/hotelier-julian-gerners-coronavirus-lockdown-challenge-rushed-to-high-court/news-story/4da62e323c09ea083cf33bfc77dc8d88
952346403,20201013,202010,2020,2020.7753,COP,POLICE CHIEF,,,,,,COP,,,JORELI,HASSAN,JOR,,,,,ELI,,,1,13,13,1,1,0.4,10,1,10,-9.52380952380952,0,,,,,,,,0,,,,,,,,0,,,,,,,,20201020083000,https://www.freemalaysiatoday.com/category/nation/2020/10/20/man-jailed-1-month-for-punching-fireman/
952346404,20201013,202010,2020,2020.7753,GOV,GOVERNMENT,,,,,,GOV,,,IGOBUSIMF,INTERNATIONAL MONETARY FUND,,IMF,,,,IGO,BUS,,1,51,51,5,1,3.4,10,1,10,0.4750593824228,1,India,IN,IN,,20.0,77.0,IN,1,India,IN,IN,,20.0,77.0,IN,1,India,IN,IN,,20.0,77.0,IN,20201020083000,http://www.uniindia.com/~/strong-demand-in-us-for-indian-agri-and-food-products/Business%20Economy/news/2206426.html
952346405,20201013,202010,2020,2020.7753,GOV,GOVERNMENT,,,,,,GOV,,,NGA,NIGERIAN,NGA,,,,,,,,1,130,130,13,3,-4.4,10,1,10,-3.27868852459017,4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,20201020083000,https://nairametrics.com/2020/10/20/endsars-fg-expects-increase-in-covid-19-cases-in-the-next-2-weeks/
952346406,20201013,202010,2020,2020.7753,USA,MINNESOTA,USA,,,,,,,,USAHLH,UNITED STATES,USA,,,,,HLH,,,1,10,10,1,1,0.0,4,1,4,1.02214650766609,2,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,2,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,2,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,20201020083000,https://www.pineandlakes.com/newsmd/health-news/6723743-Brainerd-nurses-at-Essentia-Health-picket-wanting-more-pay-and-COVID-19-protection
952346407,20201013,202010,2020,2020.7753,USAHLH,MINNESOTA,USA,,,,,HLH,,,,,,,,,,,,,1,10,10,1,1,0.0,6,1,6,1.02214650766609,2,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,0,,,,,,,,2,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,20201020083000,https://www.pineandlakes.com/newsmd/health-news/6723743-Brainerd-nurses-at-Essentia-Health-picket-wanting-more-pay-and-COVID-19-protection
952346408,20201019,202010,2020,2020.7918,AFGGOVEDU,MOHAMMAD SARWAR DANESH,AFG,,,,,GOV,EDU,,GOVMED,MINIST OF INFORMATION,,,,,,GOV,MED,,1,40,40,4,1,1.0,7,1,7,2.83687943262411,4,"Kabul, Kabol, Afghanistan",AF,AF13,3580,34.5167,69.1833,-3378435,4,"Kabul, Kabol, Afghanistan",AF,AF13,3580,34.5167,69.1833,-3378435,4,"Kabul, Kabol, Afghanistan",AF,AF13,3580,34.5167,69.1833,-3378435,20201020083000,http://www.bakhtarnews.com.af/eng/politics/item/44416-vp-danesh-praises-moic-works.html
952346409,20201019,202010,2020,2020.7918,GOVMED,MINIST OF INFORMATION,,,,,,GOV,MED,,AFGGOVEDU,MOHAMMAD SARWAR DANESH,AFG,,,,,GOV,EDU,,1,40,40,4,1,1.0,7,1,7,2.83687943262411,4,"Kabul, Kabol, Afghanistan",AF,AF13,3580,34.5167,69.1833,-3378435,4,"Kabul, Kabol, Afghanistan",AF,AF13,3580,34.5167,69.1833,-3378435,4,"Kabul, Kabol, Afghanistan",AF,AF13,3580,34.5167,69.1833,-3378435,20201020083000,http://www.bakhtarnews.com.af/eng/politics/item/44416-vp-danesh-praises-moic-works.html
952346410,20201020,202010,2020,2020.7945,,,,,,,,,,,AFG,AFGHANISTAN,AFG,,,,,,,,1,40,40,4,1,1.0,3,1,3,6.83760683760684,0,,,,,,,,4,"Kabul, Kabol, Afghanistan",AF,AF13,3580,34.5167,69.1833,-3378435,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20201020083000,http://www.bakhtarnews.com.af/eng/politics/item/44421-chairman-of-hpc-returned-kabul-after-two-day-visit-from-tehran.html
