GlobalEventID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1_private_code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2_private_code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,Action_private_code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
952339839,20191021,201910,2019,2019.7973,BUS,COMPANY,,,,,,BUS,,,USA,UNITED STATES,USA,,,,,,,,0,40,40,4,1,1.0,3,1,3,-2.24358974358975,2,"Texas, United States",US,USTX,,31.105999999999998,-97.6475,TX,3,"El Paso, Texas, United States",US,USTX,,31.7587,-106.48700000000001,1380946,3,"El Paso, Texas, United States",US,USTX,,31.7587,-106.48700000000001,1380946,20201020080000,https://kvia.com/news/education/2020/10/19/episd-superintendent-former-board-president-accused-of-fraud-in-california-lawsuit/
952339840,20191021,201910,2019,2019.7973,CHN,BEIJING,CHN,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,0,173,173,17,4,-5.0,1,1,1,-6.038291605301911,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.38799999999999,-1898541,1,Hong Kong,HK,HK,,22.25,114.16666699999999,HK,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.38799999999999,-1898541,20201020080000,https://indianexpress.com/article/world/canada-china-spat-heats-up-over-ambassadors-alleged-threat-6802572/
952339841,20191021,201910,2019,2019.7973,GBRHLH,LONDON,GBR,,,,,HLH,,,PAK,PAKISTAN,PAK,,,,,,,,1,42,42,4,1,1.9,8,1,8,-2.46913580246914,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20201020080000,https://www.bbc.com/news/av/health-54483954
952339842,20191021,201910,2019,2019.7973,JUD,HIGH COURT,,,,,,JUD,,,,,,,,,,,,,1,120,120,12,3,-4.0,5,1,5,-4.57796852646638,4,"Thiruvananthapuram, Kerala, India",IN,IN13,17709,8.50694,76.9569,-2113457,0,,,,,,,,4,"Thiruvananthapuram, Kerala, India",IN,IN13,17709,8.50694,76.9569,-2113457,20201020080000,https://www.siliconindia.com/news/general/Kerala-HC-Rejects-State-Government-Plea-Against-Leasing-Out-Thiruvananthapuram-Airport-to-Adani-Group-nid-214373-cid-1.html
952339843,20191021,201910,2019,2019.7973,PAK,PAKISTAN,PAK,,,,,,,,GBRHLH,UNITED KINGDOM,GBR,,,,,HLH,,,1,43,43,4,1,2.8,2,1,2,-2.46913580246914,1,Pakistan,PK,PK,,30.0,70.0,PK,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20201020080000,https://www.bbc.com/news/av/health-54483954
952339844,20191021,201910,2019,2019.7973,PAK,PAKISTAN,PAK,,,,,,,,GBRHLH,LONDON,GBR,,,,,HLH,,,1,43,43,4,1,2.8,6,1,6,-2.46913580246914,1,Pakistan,PK,PK,,30.0,70.0,PK,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,1,Pakistan,PK,PK,,30.0,70.0,PK,20201020080000,https://www.bbc.com/news/av/health-54483954
952339845,20191021,201910,2019,2019.7973,USA,UNITED STATES,USA,,,,,,,,BUS,COMPANY,,,,,,BUS,,,0,10,10,1,1,0.0,3,1,3,-2.24358974358975,3,"El Paso, Texas, United States",US,USTX,TX141,31.7587,-106.48700000000001,1380946,2,"Texas, United States",US,USTX,,31.105999999999998,-97.6475,TX,2,"Texas, United States",US,USTX,,31.105999999999998,-97.6475,TX,20201020080000,https://kvia.com/news/education/2020/10/19/episd-superintendent-former-board-president-accused-of-fraud-in-california-lawsuit/
952339846,20191021,201910,2019,2019.7973,USA,UNITED STATES,USA,,,,,,,,BUS,COMPANY,,,,,,BUS,,,0,40,40,4,1,1.0,3,1,3,-2.24358974358975,3,"El Paso, Texas, United States",US,USTX,TX141,31.7587,-106.48700000000001,1380946,2,"Texas, United States",US,USTX,,31.105999999999998,-97.6475,TX,3,"El Paso, Texas, United States",US,USTX,,31.7587,-106.48700000000001,1380946,20201020080000,https://kvia.com/news/education/2020/10/19/episd-superintendent-former-board-president-accused-of-fraud-in-california-lawsuit/
952339847,20191021,201910,2019,2019.7973,USA,UNITED STATES,USA,,,,,,,,SYR,SYRIA,SYR,,,,,,,,0,154,154,15,4,-7.2,4,1,4,-5.526315789473691,1,United States,US,US,,39.828175,-98.5795,US,4,"Idlib, Idlib, Syria",SY,SY12,26365,35.9306,36.6339,-2542538,4,"Idlib, Idlib, Syria",SY,SY12,26365,35.9306,36.6339,-2542538,20201020080000,https://www.foxnews.com/world/us-drone-strike-kills-2-senior-al-qaeda-operatives-in-syria
952339848,20191021,201910,2019,2019.7973,USA,UNITED STATES,USA,,,,,,,,SYR,SYRIA,SYR,,,,,,,,0,154,154,15,4,-7.2,2,1,2,-5.526315789473691,1,United States,US,US,,39.828175,-98.5795,US,4,"Idlib, Idlib, Syria",SY,SY12,26365,35.9306,36.6339,-2542538,1,United States,US,US,,39.828175,-98.5795,US,20201020080000,https://www.foxnews.com/world/us-drone-strike-kills-2-senior-al-qaeda-operatives-in-syria
